label_name,bbox_x,bbox_y,bbox_width,bbox_height,image_name,image_width,image_height
Blue_Circle,108,257,38,31,100.jpg,640,480
Blue_Square,361,26,46,35,100.jpg,640,480
Unknown,340,391,80,74,100.jpg,640,480
Blue_Circle,109,255,37,32,101.jpg,640,480
Unknown,358,323,78,75,101.jpg,640,480
Green_Square,166,74,49,38,101.jpg,640,480
Blue_Square,362,25,45,37,101.jpg,640,480
Blue_Square,372,65,46,42,102.jpg,640,480
Green_Circle,169,48,29,23,102.jpg,640,480
Blue_Circle,95,353,37,40,102.jpg,640,480
Red_Square,338,307,65,63,102.jpg,640,480
Green_Square,141,103,49,50,103.jpg,640,480
Red_Circle,364,123,36,36,103.jpg,640,480
Unknown,380,291,49,80,103.jpg,640,480
Blue_Circle,93,358,38,30,103.jpg,640,480
Green_Square,364,102,50,50,104.jpg,640,480
Green_Circle,379,208,38,42,104.jpg,640,480
Blue_Square,164,50,48,37,104.jpg,640,480
Red_Circle,128,333,41,35,104.jpg,640,480
Red_Circle,150,131,33,37,105.jpg,640,480
Blue_Circle,356,78,38,29,105.jpg,640,480
Green_Circle,361,346,40,37,105.jpg,640,480
Blue_Square,100,259,52,54,105.jpg,640,480
Blue_Square,114,314,42,48,106.jpg,640,480
Blue_Circle,121,198,39,39,106.jpg,640,480
Unknown,364,100,60,83,106.jpg,640,480
Red_Circle,398,321,41,40,106.jpg,640,480
Unknown,89,225,57,85,107.jpg,640,480
Green_Circle,165,109,32,36,107.jpg,640,480
Red_Circle,364,155,44,38,107.jpg,640,480
Blue_Square,367,326,56,59,107.jpg,640,480
Blue_Circle,170,33,36,31,108.jpg,640,480
Green_Square,103,324,52,56,108.jpg,640,480
Green_Circle,387,77,31,32,108.jpg,640,480
Blue_Square,371,152,51,44,108.jpg,640,480
Unknown,98,258,68,76,109.jpg,640,480
Red_Square,143,140,47,40,109.jpg,640,480
Red_Circle,366,174,38,40,109.jpg,640,480
Green_Circle,385,3,28,21,109.jpg,640,480
Green_Circle,129,188,32,35,11.jpg,640,480
Green_Square,94,328,51,56,110.jpg,640,480
Blue_Circle,364,188,37,38,110.jpg,640,480
Red_Circle,378,45,29,27,110.jpg,640,480
Red_Circle,376,18,27,25,111.jpg,640,480
Blue_Circle,366,196,39,42,111.jpg,640,480
Green_Circle,177,40,31,27,111.jpg,640,480
Blue_Square,142,116,47,45,111.jpg,640,480
Green_Square,105,237,49,57,111.jpg,640,480
Red_Square,352,107,48,56,112.jpg,640,480
Blue_Circle,338,321,42,39,112.jpg,640,480
Blue_Square,148,94,42,38,112.jpg,640,480
Green_Square,124,165,49,46,112.jpg,640,480
Red_Circle,110,356,35,39,112.jpg,640,480
Unknown,159,2,67,27,113.jpg,640,480
Red_Square,373,28,41,33,113.jpg,640,480
Green_Circle,366,199,40,40,113.jpg,640,480
Blue_Square,140,114,50,40,113.jpg,640,480
Green_Square,130,244,48,52,113.jpg,640,480
Unknown,93,337,77,69,114.jpg,640,480
Green_Circle,361,375,37,40,114.jpg,640,480
Red_Circle,372,100,32,31,114.jpg,640,480
Blue_Circle,147,143,35,31,114.jpg,640,480
Blue_Square,170,36,38,33,114.jpg,640,480
Green_Square,368,50,44,38,115.jpg,640,480
Blue_Square,377,225,49,51,115.jpg,640,480
Red_Circle,180,51,33,27,115.jpg,640,480
Red_Square,146,147,46,49,115.jpg,640,480
Blue_Circle,114,229,39,40,115.jpg,640,480
Blue_Square,179,0,36,22,116.jpg,640,480
Red_Circle,378,86,29,30,116.jpg,640,480
Unknown,356,308,95,33,116.jpg,640,480
Blue_Circle,138,129,36,29,116.jpg,640,480
Green_Square,82,297,52,59,116.jpg,640,480
Unknown,366,385,73,75,117.jpg,640,480
Unknown,364,132,71,73,117.jpg,640,480
Red_Circle,172,54,32,26,117.jpg,640,480
Blue_Circle,140,129,36,28,117.jpg,640,480
Green_Square,85,380,49,56,117.jpg,640,480
Green_Square,146,114,45,45,118.jpg,640,480
Blue_Circle,188,10,31,20,118.jpg,640,480
Red_Circle,129,257,37,29,118.jpg,640,480
Green_Circle,373,300,37,39,118.jpg,640,480
Unknown,382,65,40,54,118.jpg,640,480
Blue_Square,373,22,45,38,119.jpg,640,480
Green_Square,392,156,41,41,119.jpg,640,480
Red_Square,149,88,46,32,119.jpg,640,480
Green_Circle,129,174,35,33,119.jpg,640,480
Red_Circle,92,328,42,33,119.jpg,640,480
Blue_Circle,171,78,29,30,12.jpg,640,480
Blue_Circle,364,138,37,38,120.jpg,640,480
Red_Square,187,4,41,27,120.jpg,640,480
Red_Circle,92,403,39,41,120.jpg,640,480
Unknown,142,151,45,68,120.jpg,640,480
